algorithm,dataset,budget,trial,best_accuracy,best_fitness,n_queries,elapsed_s,is_real_data
Random,cifar10,50,25,65.0142,34.9858,50,0.001,False
Random,cifar10,50,40,69.9414,30.0586,50,0.001,False
Random,cifar10,50,11,65.0268,34.9732,50,0.001,False
Random,cifar10,50,100,70.0678,29.9322,50,0.001,False
Random,cifar10,50,37,70.1576,29.8424,50,0.001,False
Random,cifar10,50,101,65.0366,34.9634,50,0.001,False
Random,cifar10,50,4,70.033,29.967,50,0.001,False
Random,cifar10,50,102,69.9522,30.0478,50,0.001,False
Random,cifar10,50,56,65.0326,34.9674,50,0.001,False
Random,cifar10,50,103,65.1175,34.8825,50,0.001,False
Random,cifar10,50,65,65.0598,34.9402,50,0.001,False
Random,cifar10,50,104,65.0448,34.9552,49,0.001,False
Random,cifar10,50,59,69.9651,30.0349,50,0.001,False
Random,cifar10,50,29,65.0628,34.9372,50,0.001,False
Random,cifar10,50,19,65.0366,34.9634,50,0.001,False
Random,cifar10,50,105,65.0401,34.9599,50,0.001,False
Random,cifar10,50,3,65.0685,34.9315,50,0.001,False
Random,cifar10,50,51,65.0342,34.9658,49,0.001,False
Random,cifar10,50,106,69.9801,30.0199,50,0.001,False
Random,cifar10,50,107,65.0343,34.9657,50,0.001,False
Random,cifar10,50,108,65.0344,34.9656,50,0.001,False
Random,cifar10,50,67,70.1047,29.8953,50,0.001,False
Random,cifar10,50,109,65.0575,34.9425,50,0.001,False
Random,cifar10,50,15,65.0134,34.9866,49,0.001,False
Random,cifar10,50,110,70.0383,29.9617,50,0.001,False
Random,cifar10,50,111,65.0636,34.9364,50,0.001,False
Random,cifar10,50,112,70.0345,29.9655,50,0.001,False
Random,cifar10,50,113,70.0104,29.9896,50,0.001,False
Random,cifar10,50,55,75.0473,24.9527,50,0.001,False
Random,cifar10,50,96,70.0253,29.9747,50,0.001,False
Random,cifar10,50,5,65.0538,34.9462,50,0.004,False
Random,cifar10,50,23,69.9793,30.0207,50,0.001,False
Random,cifar10,50,75,70.028,29.972,50,0.041,False
Random,cifar10,50,115,70.0684,29.9316,50,0.001,False
Random,cifar10,50,120,70.1049,29.8951,50,0.001,False
Random,cifar10,50,119,65.035,34.965,50,0.001,False
Random,cifar10,50,118,69.9925,30.0075,50,0.001,False
Random,cifar10,50,117,65.0614,34.9386,49,0.001,False
Random,cifar10,50,87,69.9788,30.0212,50,0.001,False
Random,cifar10,50,121,69.9853,30.0147,50,0.001,False
Random,cifar10,50,122,65.0661,34.9339,50,0.001,False
Random,cifar10,50,123,64.9838,35.0162,49,0.001,False
Random,cifar10,50,124,65.0681,34.9319,50,0.001,False
Random,cifar10,50,125,65.0581,34.9419,50,0.001,False
Random,cifar10,50,7,70.0697,29.9303,50,0.001,False
Random,cifar10,50,126,70.0258,29.9742,50,0.001,False
Random,cifar10,50,58,70.1576,29.8424,50,0.001,False
Random,cifar10,50,74,69.9574,30.0426,50,0.001,False
Random,cifar10,50,127,70.0291,29.9709,50,0.001,False
Random,cifar10,50,128,65.0243,34.9757,50,0.001,False
Random,cifar10,50,33,64.9588,35.0412,50,0.001,False
Random,cifar10,50,129,65.029,34.971,50,0.001,False
Random,cifar10,50,114,65.03,34.97,50,0.001,False
Random,cifar10,50,64,64.9993,35.0007,50,0.004,False
Random,cifar10,50,62,70.0341,29.9659,50,0.001,False
Random,cifar10,50,20,69.9954,30.0046,50,0.001,False
Random,cifar10,50,133,65.0171,34.9829,50,0.001,False
Random,cifar10,50,116,69.9609,30.0391,50,0.001,False
Random,cifar10,50,8,70.0345,29.9655,50,0.001,False
Random,cifar10,50,134,70.0229,29.9771,50,0.001,False
Random,cifar10,50,135,69.8756,30.1244,49,0.001,False
